bank_IDRSSD,name,doc_id,event_date,t0,CAR,alpha,beta,n_est,delisted_flag,S,S_norm,n_design,char_quarter,char_lookahead,filing_type,uninsured_share,size,ROA,NPL_ratio,equity_ratio,deposit_reliance,failed
613008,ROCKLAND TRUST COMPANY,1,2022-01-20,2022-01-20,0.04802068237834053,-0.0006251986674016948,1.1300468574125884,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.32893800866102085,16.832059356411225,0.0060826042444982525,0.0020437901507974784,0.144471044911598,0.9805678659934935,False
433608,TOMPKINS COMMUNITY BANK,1,2022-01-20,2022-01-20,0.018476091020761434,-0.00030158166423299856,1.1431279059952912,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.4421245931068176,14.713186301020398,0.015550392784037446,0.007214195648430513,0.06954092945372924,0.9256771295064,False
379920,FIRST NATIONAL BANK OF PENNSYLVANIA,1,2022-01-20,2022-01-20,0.018385836857114528,-0.00042169762566044653,1.3357404386903038,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.4184416243667491,17.491008832086965,0.010537464505074678,0.0036509862251006987,0.13087550373948037,0.9366605652907899,False
491224,FIRST-CITIZENS BANK & TRUST COMPANY,1,2022-01-20,2022-01-20,-0.07442788173528866,-0.0005237069177135447,1.3323231843889223,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.38879231657531416,17.87966625416299,0.009297245679415613,0.003913161168102798,0.08567013564854699,0.9692415058386328,False
246022,"BANK OF SOUTH CAROLINA, THE",1,2022-01-20,2022-01-20,0.011419755605952464,0.000732780155395,0.29044349281318954,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.4391821276344801,13.428316021801658,0.010311373735380193,0.0026308559978022333,0.07854229784125404,0.9757525190527339,False
437914,"WILMINGTON SAVINGS FUND SOCIETY, FSB",1,2022-01-20,2022-01-20,-0.012879241212997826,1.0775417543320468e-06,1.0542403822594613,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.4385345964569767,16.571845335130327,0.017413754342750644,0.0033252751665200295,0.12764051721635297,0.9722967207385619,False
761806,"WEBSTER BANK, NATIONAL ASSOCIATION",1,2022-01-20,2022-01-20,0.01850447895964697,-0.0005481470959641027,1.473246803963836,200,False,0.1231,0.0243,65,2021-12-31,False,031,0.3459342563851471,17.36779773973727,0.012549467969723354,0.005046725858994508,0.10100930463683108,0.9616495356872522,False
837000,"FIRST NATIONAL BANK OF LONG ISLAND, THE",1,2022-01-20,2022-01-20,0.018907273072835518,0.0004039446724482642,0.7849164844978058,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.5228019759038179,15.218462901280308,0.01111356981109808,0.00039774096016922185,0.10165618031122224,0.9074685086384165,False
510871,FIRSTBANK PUERTO RICO,1,2022-01-20,2022-01-20,-0.05571339894114708,0.0007833787916732733,1.293665663670367,200,False,0.1231,0.0243,65,2021-12-31,False,031,0.48102773123851866,16.849409190959044,0.013597453970845528,0.02038309405538828,0.10815671572365128,0.9617114044558915,False
245276,ORIENTAL BANK,1,2022-01-20,2022-01-20,-0.015302813578897123,0.0007190441521415206,1.3476227683304858,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.3223297163634205,16.098478690425,0.014694247513344732,0.030807919758812616,0.10311784666575971,0.980641632730103,False
216922,FIRST BANK,1,2022-01-20,2022-01-20,-0.010639837833126407,0.00022892126389365474,1.0884041749967481,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.35707694079841085,16.168486913637565,0.00960327855602808,0.005793597020435818,0.1216417502430629,0.9905370910437195,False
645625,"WESBANCO BANK, INC.",1,2022-01-20,2022-01-20,-0.0067935197508361585,-6.221042137437039e-05,1.180590964638125,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.3000445384984881,16.641569073049503,0.014650091872634089,0.0044958366874287645,0.15618525532795516,0.9639891839836344,False
365325,UNITED BANK,1,2022-01-20,2022-01-20,-0.018496015641828973,-0.0004412188262953888,1.2796202622777413,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.36117551607122494,17.192747261606584,0.012666797838955322,0.004179065875420119,0.16335012796126477,0.9636362746012214,False
