doc_id,event_date,t0,CAR_aug,alpha_aug,n_est_aug,delisted_flag,b_mktrf,b_banks_x,b_d_dgs2,name,bank_IDRSSD,S,S_norm,char_quarter,uninsured_share,size,ROA,NPL_ratio,equity_ratio,deposit_reliance,CAR_mkt,beta_mkt,n_est_mkt,vulnerability_score,is_trust_or_specialized
1,2022-01-20,2022-01-20,0.03611779805277547,-0.0006263453652683127,200,False,-0.055284845053815784,1.1096561304189634,0.013125099140425143,ROCKLAND TRUST COMPANY,613008,0.1231,0.0243,2021-12-31,0.3289380086610208,16.832059356411225,0.0060826042444982,0.0020437901507974,0.144471044911598,0.9805678659934935,0.0480206823783405,1.1300468574125884,200,-0.0158760513078972,False
1,2022-01-20,2022-01-20,0.010159743108920635,-0.000183296931788125,200,False,-0.1377324355503043,1.2033055090744686,-0.029891183670995154,TOMPKINS COMMUNITY BANK,433608,0.1231,0.0243,2021-12-31,0.4421245931068176,14.713186301020398,0.0155503927840374,0.0072141956484305,0.0695409294537292,0.9256771295064,0.0184760910207614,1.1431279059952912,200,-0.0148771822868522,False
1,2022-01-20,2022-01-20,0.0059648148048509035,-0.000315383629902304,200,False,-0.26405088582776437,1.501271057897034,-0.020093741889413323,FIRST NATIONAL BANK OF PENNSYLVANIA,379920,0.1231,0.0243,2021-12-31,0.4184416243667491,17.491008832086965,0.0105374645050746,0.0036509862251006,0.1308755037394803,0.93666056529079,0.0183858368571145,1.3357404386903038,200,-0.0139327318777742,False
1,2022-01-20,2022-01-20,-0.08956684134551388,-0.0006074762436061162,200,False,0.09453015219170907,1.1566248222655797,0.04237560161230082,FIRST-CITIZENS BANK & TRUST COMPANY,491224,0.1231,0.0243,2021-12-31,0.3887923165753141,17.87966625416299,0.0092972456794156,0.0039131611681027,0.0856701356485469,0.9692415058386328,-0.0744278817352886,1.3323231843889225,200,-0.0173391233094819,False
1,2022-01-20,2022-01-20,0.001208425287526133,0.0004789185990627358,200,False,0.2798588106048641,-0.009326633438655297,0.09446244395055332,"BANK OF SOUTH CAROLINA, THE",246022,0.1231,0.0243,2021-12-31,0.4391821276344801,13.428316021801658,0.0103113737353801,0.0026308559978022,0.078542297841254,0.975752519052734,0.0114197556059524,0.2904434928131895,200,0.0138078723296275,False
1,2022-01-20,2022-01-20,-0.02503280597023768,0.00010462733119214782,200,False,-0.5321682264112457,1.50322124108037,-0.01852937501730178,"WILMINGTON SAVINGS FUND SOCIETY, FSB",437914,0.1231,0.0243,2021-12-31,0.4385345964569767,16.571845335130327,0.0174137543427506,0.00332527516652,0.1276405172163529,0.972296720738562,-0.0128792412129978,1.0542403822594613,200,-0.0135358011532707,True
1,2022-01-20,2022-01-20,0.004968026178663772,-0.0004282528989675828,200,False,-0.25828695781327154,1.6204995171263323,-0.022871032305438514,"WEBSTER BANK, NATIONAL ASSOCIATION",761806,0.1231,0.0243,2021-12-31,0.3459342563851471,17.36779773973727,0.0125494679697233,0.0050467258589945,0.101009304636831,0.9616495356872522,0.0185044789596469,1.473246803963836,200,-0.0215936457984246,False
1,2022-01-20,2022-01-20,0.009916852723743357,0.00042820212447183635,200,False,-0.24932424526542785,0.9822346217751723,0.0018063071525771387,"FIRST NATIONAL BANK OF LONG ISLAND, THE",837000,0.1231,0.0243,2021-12-31,0.5228019759038179,15.218462901280308,0.011113569811098,0.0003977409601692,0.1016561803112222,0.9074685086384164,0.0189072730728355,0.7849164844978058,200,-0.0209473840040695,False
1,2022-01-20,2022-01-20,-0.06702649414253523,0.0008949583762822316,200,False,-0.25267899044992176,1.4552579644161459,-0.023771650500049327,FIRSTBANK PUERTO RICO,510871,0.1231,0.0243,2021-12-31,0.4810277312385186,16.849409190959044,0.0135974539708455,0.0203830940553882,0.1081567157236512,0.9617114044558916,-0.055713398941147,1.293665663670367,200,-0.0182056510092615,False
1,2022-01-20,2022-01-20,-0.03285796074395663,0.0006525168279309866,200,False,-0.13122265220686016,1.3840067001911354,0.04159423076788284,ORIENTAL BANK,245276,0.1231,0.0243,2021-12-31,0.3223297163634205,16.098478690425,0.0146942475133447,0.0308079197588126,0.1031178466657597,0.980641632730103,-0.0153028135788971,1.3476227683304858,200,-0.0174995369123359,False
