bank_IDRSSD,holder_RSSD,name,total_assets,failed
42420,1071306,FIRST COMMONWEALTH BANK,9776999.0,False
3650808,3884863,LIVE OAK BANKING COMPANY,9738922.0,False
245276,2490575,ORIENTAL BANK,9709667.0,False
2239288,2260406,"WINTRUST BANK, NATIONAL ASSOCIATION",9659979.0,False
3317932,1048764,CONNECTONE BANK,9640575.0,False
667757,1885307,ORIGIN BANK,9631077.0,False
4210227,3973888,NBH BANK,9523916.0,False
258771,3843507,HOMESTREET BANK,9335429.0,False
3465226,1206546,HTLF BANK,9178296.0,False
936426,1071397,S & T BANK,9106184.0,False
83638,1135972,"AMERANT BANK, NATIONAL ASSOCIATION",9101588.0,False
1001152,1104231,INTERNATIONAL BANK OF COMMERCE,8748621.0,False
2941068,3103603,NICOLET NATIONAL BANK,8748360.0,False
959304,2393274,FLUSHING BANK,8421743.0,False
981275,3316917,PREMIER BANK,8408012.0,False
991340,1199602,1ST SOURCE BANK,8334906.0,False
633378,3099443,KEARNY BANK,8283971.0,False
497570,3814208,LUTHER BURBANK SAVINGS,7971940.0,False
2858960,2858951,"BANCORP BANK NATIONAL ASSOCIATION, THE",7897432.0,False
661308,5559343,AMALGAMATED BANK,7856868.0,False
130541,1209136,HORIZON BANK,7794340.0,False
773247,1491351,MIDLAND STATES BANK,7783278.0,False
433608,2367921,TOMPKINS COMMUNITY BANK,7630619.0,False
361167,1245068,SOUTHSIDE BANK,7554150.0,False
317342,1249730,STOCK YARDS BANK & TRUST COMPANY,7488838.0,False
701062,1022764,CENTRAL PACIFIC BANK,7419533.0,False
657365,2900261,HANMI BANK,7348419.0,False
129732,1204627,BYLINE BANK,7347241.0,False
354310,1116609,UNIVEST BANK AND TRUST CO.,7207694.0,False
577128,1070578,PEOPLES BANK,7197574.0,False
881478,2166124,HERITAGE BANK,6977262.0,False
697763,1025541,WESTAMERICA BANK,6909609.0,False
762447,1206760,"FIRST MID BANK & TRUST, NATIONAL ASSOCIATION",6704869.0,False
816603,1115349,"WASHINGTON TRUST COMPANY, OF WESTERLY, THE",6659837.0,False
435077,2390013,"PATHWARD, NATIONAL ASSOCIATION",6649091.0,False
3594005,3903661,CROSSFIRST BANK,6596702.0,False
836843,1245228,MIDWESTONE BANK,6574512.0,False
2385514,2385493,"FIRST BANK, THE",6463617.0,False
1918344,1918344,PREFERRED BANK,6425969.0,False
874845,1208906,LAKE CITY BANK,6412535.0,False
236706,2651590,PEAPACK-GLADSTONE BANK,6351237.0,False
2705895,2820211,METROPOLITAN COMMERCIAL BANK,6265921.0,False
37640,1098620,GERMAN AMERICAN BANK,6150272.0,False
782306,2631510,BROOKLINE BANK,6055752.0,False
677176,1048513,TRUSTCO BANK,5999551.0,False
936136,1206911,OLD SECOND NATIONAL BANK,5883754.0,False
316840,1097025,REPUBLIC BANK & TRUST COMPANY,5825549.0,False
601416,1032464,FIVE STAR BANK,5756441.0,False
572374,2339133,GREAT SOUTHERN BANK,5684000.0,False
593007,1130249,CAMDEN NATIONAL BANK,5662457.0,False
28013,3132863,NORTHFIELD BANK,5623771.0,False
736206,1115013,CAMBRIDGE TRUST COMPANY,5559387.0,False
399517,1118340,CNB BANK,5453779.0,False
40499,4973353,HARBORONE BANK,5362221.0,False
509811,1070644,"COMMUNITY TRUST BANK, INC.",5351295.0,False
766164,3233126,"TBK BANK, SSB",5331967.0,False
2209553,2634874,HERITAGE BANK OF COMMERCE,5152676.0,False
636771,1201925,INDEPENDENT BANK,4995759.0,False
139656,3180547,EQUITY BANK,4976744.0,False
693345,1208595,"FIRST FINANCIAL BANK, NATIONAL ASSOCIATION",4973142.0,False
2608754,2608763,MERCANTILE BANK,4853001.0,False
3532641,1131497,SMARTBANK,4631368.0,False
2758613,3393178,FIRST INTERNET BANK OF INDIANA,4534480.0,False
876634,1085509,CAPITAL CITY BANK,4513488.0,False
786612,1944204,MID PENN BANK,4481008.0,False
1356768,2461016,ENTERPRISE BANK AND TRUST COMPANY,4438333.0,False
3378773,3378764,BRIDGEWATER BANK,4340923.0,False
426534,1208120,HEARTLAND BANK AND TRUST COMPANY,4281261.0,False
837000,1048894,"FIRST NATIONAL BANK OF LONG ISLAND, THE",4279384.0,False
3476192,5530258,CARTER BANK & TRUST,4199820.0,False
1436204,3590388,BANK OF MARIN,4148631.0,False
680813,1071191,"FARMERS NATIONAL BANK OF CANFIELD, THE",4065303.0,False
575254,2033226,CITY BANK,3942106.0,False
3835454,4176855,ROYAL BUSINESS BANK,3915530.0,False
522605,1115385,BAR HARBOR BANK AND TRUST COMPANY,3906943.0,False
2372774,1247679,"SUMMIT COMMUNITY BANK, INC.",3890541.0,False
933256,2067007,"ALERUS FINANCIAL, NATIONAL ASSOCIATION",3778066.0,False
3630323,4475473,"THIRD COAST BANK, SSB",3768484.0,False
2849801,2849799,SOUTHERN FIRST BANK,3694134.0,False
594947,1208009,"BANK FIRST, NATIONAL ASSOCIATION",3658116.0,False
212577,4366003,HOMETRUST BANK,3646842.0,False
139740,1210066,WEST BANK,3611269.0,False
662369,2976396,BANK OF THE SIERRA,3607850.0,False
933621,5756704,BURKE AND HERBERT BANK AND TRUST COMPANY,3563307.0,False
2954059,3170539,BCB COMMUNITY BANK,3545894.0,False
542528,1246533,CIVISTA BANK,3533305.0,False
933023,2429838,"SHORE UNITED BANK, NATIONAL ASSOCIATION",3476775.0,False
3437456,4750086,METRO CITY BANK,3440092.0,False
272272,3266227,SOUTHERN BANK,3423751.0,False
3109043,3553815,BANKWELL BANK,3249463.0,False
2867337,3162927,FIVE STAR BANK,3224069.0,False
929978,3851191,"HOME BANK, NATIONAL ASSOCIATION",3221051.0,False
422433,3589560,FIRST GUARANTY BANK,3149346.0,False
2562164,3203008,COASTAL COMMUNITY BANK,3141703.0,False
866000,1048812,GLENS FALLS NATIONAL BANK AND TRUST COMPANY,3125180.0,False
2353595,1478017,FIRST COMMUNITY BANK,3112618.0,False
2743244,2743235,RED RIVER BANK,3082034.0,False
958727,1076691,AMERICAN NATIONAL BANK AND TRUST COMPANY,3061152.0,False
2757205,3211601,"MVB BANK, INC.",3029565.0,False
214414,1134630,"FARMERS & MERCHANTS STATE BANK, THE",3002849.0,False
537449,1247428,FIRST BUSINESS BANK,2978956.0,False
491934,1085170,COLONY BANK,2927951.0,False
342410,1248153,ORRSTOWN BANK,2918941.0,False
2634351,2634696,MACATAWA BANK,2906669.0,False
3158546,3189906,FIRST WESTERN TRUST BANK,2863212.0,False
3401970,3401970,FIRST BANK,2732940.0,False
439404,1133932,FIRST NATIONAL BANK,2704047.0,False
1718188,3025385,NORTHRIM BANK,2656653.0,False
884303,1133594,CHEMUNG CANAL TRUST COMPANY,2641568.0,False
3281510,5069897,UNITED BUSINESS BANK,2495514.0,False
5210,1117464,ACNB BANK,2487272.0,False
979375,3852031,"STERLING BANK AND TRUST, FSB",2444260.0,False
895710,1143623,CITIZENS & NORTHERN BANK,2439371.0,False
1890525,2181426,UNITY BANK,2431532.0,False
703767,2935405,CENTRAL VALLEY COMMUNITY BANK,2421530.0,False
697978,2523389,COMMUNITY BANK OF THE CHESAPEAKE,2408423.0,False
324340,1139297,CHOICEONE BANK,2382585.0,False
1007819,2858773,"FIDELITY DEPOSIT AND DISCOUNT BANK, THE",2378265.0,False
3419416,5039724,JOHN MARSHALL BANK,2345424.0,False
3614976,4875907,FVCBANK,2338603.0,False
978118,1118368,FIRST CITIZENS COMMUNITY BANK,2329851.0,False
2142155,2125813,QUAD CITY BANK AND TRUST COMPANY,2304453.0,False
